Item,Description,Qty,Purchase Link
Drone Base,base of drone 3D printed,1,https://github.com/twodoot/RC-Drone/blob/main/CAD%20Files/Drone/Part%20STLs/Drone%20Base.stl
Drone Top,top of drone 3D printed,1,https://github.com/twodoot/RC-Drone/blob/main/CAD%20Files/Drone/Part%20STLs/Drone%20Top.stl
Drone legs,top of drone 3D printed,4,https://github.com/twodoot/RC-Drone/blob/main/CAD%20Files/Drone/Part%20STLs/Drone%20Landing%20leg.stl
Controller Body,body of controller 3D printed,1,https://github.com/twodoot/RC-Drone/blob/main/CAD%20Files/Controller/Part%20Stls/Body.stl
Controller Lid,lid of controller 3D printed,1,https://github.com/twodoot/RC-Drone/blob/main/CAD%20Files/Controller/Part%20Stls/Lid.stl
Controller Drawer,drawer of controller 3D printed,1,https://github.com/twodoot/RC-Drone/blob/main/CAD%20Files/Controller/Part%20Stls/Drawer.stl
Adruino nano ESP32,without header pins,2,https://www.amazon.co.uk/dp/B0C947C9QS?ref=ppx_yo2ov_dt_b_fed_asin_title
MPU-6050,Inertial Measurement Unit (IMU),1,https://www.amazon.co.uk/dp/B07XRK5FHP
4S 2200mah LiPo battery,battery for drone,1,https://www.amazon.co.uk/dp/B07Y1Q2629
XT-60 splitter,1 female -> 2 male splitter,3,https://www.amazon.co.uk/dp/B0FF1HYT44
USB Power Bank, 5V (max dimensions: 10.6L x 6.8W x 1.6Th cm),1,https://www.amazon.co.uk/dp/B0F6742NVF
Electronic Speed Controller (ESC),at least 40amp rated,4,https://www.amazon.co.uk/dp/B0B4K39KHZ
KY-023 joystick modules,joysticks,2,https://www.ebay.co.uk/itm/361695634810
jumper wires,able to also be cut and soldered,many,https://www.amazon.co.uk/dp/B0BZ7PYYLB
male terminal banana connectors,3.5mm (for soldering not crimping),12,https://www.amazon.co.uk/dp/B0BK68CQ5G?th=1
2400kv BLDCs,brushless DC motors,4,https://www.amazon.co.uk/dp/B0DL8NZYLF?th=1
drone propellers,recommended 5.1x3.6x3,4,https://www.hobbyrc.co.uk/hq-headsupfpv-r36-racing-prop-grey
USBC to USBA cable,power and data,2,https://www.amazon.co.uk/Anker-Charger-Braided-Standard-Charging/dp/B07DD5YHMH?crid=1J82P2Q59YVA7&dib=eyJ2IjoiMSJ9.U0kspAe3ZgdcDj2ugw9y0XUcK193Oeo-ctfSZ9z8AbVMmEXcPx3a2uUHu7LYFGbSRzu_LJ7FupOtMvQdiEN33xHfn07bZzmonjEyajh7qmbNt5XA94t9QCVz-TZT96NwZZCrjal5faal3jFR-PxaCapnde_GPIFX6FmBF05bZIEgxZfRljdRz3dmFvziYHhDFLhahGvj6-ey6KAHZWoa0gStwE8UzAEHEFfTnAryo10.rZpQNjinBwC_1OW21J_mC7L4IeLOQBk5G9Bjhp82uTc&dib_tag=se&keywords=usb%2Bc%2Bto%2Ba%2Bcable&qid=1787263210&sprefix=usb%2Bc%2Bto%2Ba%2Bcabl%2Caps%2C154&sr=8-4&th=1
Power only USBC to bare wires,for soldering,1,https://www.amazon.co.uk/dp/B0FHHCRXW2
M1.6 bolts,minimum 15mm,8,https://www.amazon.co.uk/dp/B0DJ5G272V
M2.5 bolts,10mm,8,https://www.amazon.co.uk/dp/B0FBMF1L54?th=1
M3 bolts,minimum 18mm for MPU-6050 and controller lid,4,https://www.screwfix.com/p/easyfix-bright-zinc-plated-pan-machine-screws-m3-x-20mm-25-pack/5875j
M3 bolts,minimum 10mm for drone motors,16,https://www.screwfix.com/p/easyfix-bright-zinc-plated-pan-machine-screws-m3-x-20mm-25-pack/5875j
M5 bolts,70mm,4,https://www.amazon.co.uk/dp/B0D44XBRCD
electrical tape,insulation,1,https://www.amazon.co.uk/dp/B074SLM838
battery straps,straps,2,https://www.hobbyrc.co.uk/hobbyrc-premium-kevlar-battery-strap-with-metal-catch-250x20mm
plastic tubing,1.5mm inner diameter 2.5mm outer diameter for M1.6 stand-offs,1,https://www.amazon.co.uk/dp/B0CYGR46RG?ref=ppx_yo2ov_dt_b_fed_asin_title&th=1
stiff foam,for MPU-6050 and joystick stand-off/shock absorption,1,packaging from one of the items listed here
sandpaper low grit,sanding,1,https://www.amazon.co.uk/ProDec-Advance-Resistant-Aluminium-230x140mm/dp/B0DPX4L94B?crid=Y4SBPNUL0XW3&dib=eyJ2IjoiMSJ9.ZlRbvnoav_IOPrhxbC3xQCM51zFhLYB7u7eYbv895-wN8Tv4JLqNl62KI9k5Z_A6fbSH55RTury-vwEx_N-jbfABsas9sDbS8i3-4sVJbLbWuo7skFbI4pz7nLWaSc2BfULxrUjrfzZp3JKhm7iE-87x0GHdMUoseGF-9JgA3fR35fgzdp170Aijv_p1OsIFEHfigirSJP6hwfAPf7myy6oe2gcjleEjxwcW6ArIcKp4YfglbJnJiRAI-MF2uGy52QW8q6ijK2U8Z1hS5tr8OvjAzDSmuhi7mSdVVp_PFcw.Dt_DhdJy44uGaxIdV3So0t3ql2FtpfFf0qYyl81sQPM&dib_tag=se&keywords=low+grit+sand+paper&qid=1787263785&sprefix=low+grit+sand+pap%2Caps%2C159&sr=8-6
hacksaw,cutting bolts to size,1,https://www.amazon.co.uk/Stanley-Pistol-Grip-Hacksaw-122/dp/B0001IW8TW?crid=2S4CKG0TF1IJ3&dib=eyJ2IjoiMSJ9.ZykaWcFAZ6kSuA2-GR4o9tS_5E7NEhTG48KW-3FS00d52ExU1a2VqzASVMqT9GDqh1vvUhDIiXs12KTTof8IZoIHvrsCN9c453Sydhm0d-Dk2ZGfiGOpcknbmN3uYwknGvT8eF0wZZTbE5c8ABbZAY3tlVs-PDy0KbciWTjCeQW-SDHZnJU-Zj6KAnOVFaNt6a8FQEYcozN4OErckuRCAwuzsX3ynpHwzKjQBiyuAQiGClitaHm0RRL-Atd7UmdR84XFLOvRSJAQ6XKoG2ElY8cX2aehsxxaO7JRSKusCwY.SsobkFHa2TxFNh5-q0gy9wk17YeYHZYhB7eb2ygAKGA&dib_tag=se&keywords=hacksaw&qid=1787263910&refinements=p_36%3A-1000%2Cp_85%3A20930949031&rnid=20930948031&rps=1&sprefix=hacksa%2Caps%2C196&sr=8-6
soldering iron,and solder and a sponge,1,https://www.amazon.co.uk/Soldering-Adjustable-Temperature-180-520%C2%B0C-Desoldering/dp/B0CPDGDMD5?crid=2K9VN8HWE56F8&dib=eyJ2IjoiMSJ9.72HJJujm1nG1McefIfAM7bJOOPLiMfLZeeTgDRdWGyQMV7OmNO-Bgu6ugZhDxMkSTGnfj1FVp4n2nWuyG-qiaN8qu3B3R1F_YLDqKKhvzM4re3GssuRDZsvS30fGkFYtTnLEtPiyKW1bnNx0I2X6pXTmUqldvSBFcYL5ljSSK3d2ap3PEBjDASjvQv-prXVeem7_Z2hYpcaLy_3TCkU5fRf7uy62g8cgTHZIprHKmS0V8I9xjzO4zJ6eggyymHvlVOwUaLLShZch9COgDC7k3t5H7TuW9IBoydaNapvUKMU.nw9wHCJJ-P8Wp8bc8MSi3KMYneC_3lufj1fw5Ji90WM&dib_tag=se&keywords=soldering%2Biron&qid=1787264060&sprefix=solring%2Biron%2Caps%2C198&sr=8-6&th=1
